Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,CGRA Utilization,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,12288,1,16,512,2048,866.3843137254902,0,73728,3166.3686274509805,220928,807424,0.2148369429922828,0.7851630570077172,39849984,0.44105358450899074,0.005543992188303011,0.020261589063624217,0.025805581251927227
latnrm.c,7680,1,1,2560,2560,2560.0,0,75776,3922.4615384615386,532480,815872,0.39491171444845263,0.6050882855515474,39849984,0.44105358450899074,0.013362113269606332,0.020473584129920855,0.03383569739952719
fft.c,1351680,1,16,28160,84480,56320.0,0,0,0.0,1633280,0,1.0,0.0,39849984,0.44105358450899074,0.04098571281735019,0.0,0.04098571281735019
dtw.cpp,147456,1,16,3072,24576,6087.321033210332,0,84480,1587.0110701107012,1649664,430080,0.793205317577548,0.206794682422452,39849984,0.44105358450899074,0.04139685476410731,0.010792476102374344,0.05218933086648165
spmv.c,393216,1,1,262144,262144,262144.0,0,56320,1094.970297029703,26476544,110592,0.9958403943922354,0.004159605607764597,39849984,0.44105358450899074,0.6644053859595025,0.0027752081406105457,0.6671805941001131
conv.c,3932160,4,1,819200,819200,819200.0,0,0,0.0,8192000,0,1.0,0.0,39849984,0.44105358450899074,0.20557097337855895,0.0,0.20557097337855895
mvt.c,147456,4,1,20480,27764,20700.254612546127,0,93696,7013.077490774907,5609769,1900544,0.7469421048097463,0.25305789519025373,39849984,0.44105358450899074,0.14077217697251773,0.04769246582382568,0.1884646427963434
gemm.c,12582912,1,1,4194304,4194304,4194304.0,0,0,0.0,12582912,0,1.0,0.0,39849984,0.44105358450899074,0.3157570151094665,0.0,0.3157570151094665
relu+histogram.c,24576,1,1,8192,8192,8192.0,0,84480,2739.6491228070176,5136384,1717760,0.7493837304847987,0.25061626951520133,39849984,0.44105358450899074,0.12889300030835646,0.04310566348031658,0.17199866378867304
